,,correct_answer_index,article_type
Former House Speaker Indicted on Federal Charges,Dennis Hastert indictment shocks former colleagues,1,domestic
Pope Benedict to become first pontiff in 600 years to resign,"Pope Benedict to resign at the end of the month, Vatican says",1,domestic
"Trump to Freeze Obama's Auto Mileage Rules, Rescind California's Emissions Authority",Trump Unveils His Plan to Weaken Fuel Economy Rules,1,domestic
Easter Sunday blasts kill at least 207 in Sri Lanka,"Sri Lanka bombings: 207 dead, hundreds injured in church, hotel explosions on Easter Sunday",1,domestic
The Principle of Professional Law Enforcement Is Now on the Line,"Rod Rosenstein, facing scrutiny from Trump, meets with president at the White House",0,domestic
"Fact Check: Trump Is Right About Puerto Rico, Critics Manipulating Hurricane Maria Death ‘Estimates’","Did 4,645 people die in Hurricane Maria? Nope.",1,domestic
Rick Perry deletes ‘drunk’ DA tweet,Rick Perry says disparaging tweet about DA unauthorized,0,domestic
"Steven Mnuchin, Treasury Pick, Is an Outsider to Public Policy",Trump nominates Steven Mnuchin for Treasury secretary,0,domestic
Romney tries to seize mantle of change,Why itÃ¢â‚¬â„¢s time for Moderate Mitt,1,domestic
The Truth About Guns in Virginia,Father of Slain Virginia TV Reporter Urges Stricter Gun Laws,1,domestic
State Department denies concluding film sparked consulate attack in Libya,State Department: Libya Consulate Attack Not Preceded By Protest,1,international
"OPINION: Mr. Obama, you should have stayed home. Your trip to Saudi Arabia, Europe signals weakness",The teachable moment of Saudi Arabia’s economic threat against the United States,1,international
Iran and world powers agree on parameters of Iranian nuclear deal,Negotiators announce preliminary agreement on Iran nuke program,0,international
Fighting erupts in central Syria amid Russian airstrikes,Russia launches naval bombardment of targets in Syria,1,international
‘The wrong Amazon is burning’: These are some of the most powerful global climate strike signs,Photos: What the youth climate strike looks like around the world,1,international
"U.S. General Is Killed in Attack at Afghan Base, Officials Say",US general assassinated in 'green-on-blue' shooting at Afghan army training base,0,international
Doctor in New York City Is Sick With Ebola,New York doctor diagnosed with Ebola; health officials seek out those in contact,0,international
"Police: One Boston bombing suspect dead, another on the run ","1 Boston Bombing Suspect Killed, Massive Manhunt Underway for Second Suspect",0,international
Israel says ground troops out of Gaza as cease-fire takes effect,Israel declares 'mission accomplished' as troops leave Gaza for cease-fire,1,international
"Snowden leaves Moscow airport, enters Russia on refugee status",Russia Grants Snowden 1-Year Asylum,1,international
